Traffic,Detected %,No Detected %,Detected Samples,No Detected Samples
Normal,98.56760963619406,1.432390363805941,315991,4592
Analysis,99.19614147909968,0.8038585209003215,617,5
Backdoor,99.71988795518207,0.2801120448179272,356,1
Fuzzers,97.98299019380025,2.017009806199749,21083,434
Shellcode,99.80145598941098,0.1985440105890139,1508,3
Worms,98.85057471264368,1.1494252873563218,172,2
Generic,99.99157768648406,0.008422313515941568,213700,18
Exploits,99.81636472790197,0.183635272098033,28265,52
Reconnaissance,99.94094820313818,0.059051796861818794,11847,7
DoS,99.81879368366555,0.18120631633445508,3856,7
